,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP_per_G,PTS_per_G,TRB_per_G,AST_per_G,WS,WS_per_48,BPM,VORP
0,1966,1.0,NYK,Cazzie Russell,University of Michigan,12,817,22213,12377,3068,1838,0.46399999999999997,0.0,0.8270000000000001,27.2,15.1,3.8,2.2,51.7,0.11199999999999999,-2.0,0.1
1,1966,2.0,DET,Dave Bing,Syracuse University,12,901,32769,18327,3420,5397,0.441,0.0,0.775,36.4,20.3,3.8,6.0,68.8,0.10099999999999999,0.6,8.5
2,1966,3.0,SFW,Clyde Lee,Vanderbilt University,10,742,19885,5733,7626,788,0.43200000000000005,0.0,0.614,26.8,7.7,10.3,1.1,33.5,0.081,-2.4,-0.6
3,1966,4.0,STL,Lou Hudson,University of Minnesota,13,890,29794,17940,3926,2432,0.489,0.0,0.797,33.5,20.2,4.4,2.7,81.0,0.131,0.1,5.9
4,1966,5.0,BAL,Jack Marin,Duke University,11,849,24590,12541,4405,1813,0.465,0.0,0.843,29.0,14.8,5.2,2.1,59.3,0.11599999999999999,-2.8,-1.4
5,1966,6.0,CIN,Walt Wesley,University of Kansas,10,590,10306,5002,3243,385,0.434,0.0,0.63,17.5,8.5,5.5,0.7,9.5,0.044000000000000004,-2.8,-0.1
6,1966,7.0,LAL,Jerry Chambers,University of Utah,4,239,3691,1931,739,182,0.442,0.0,0.747,15.4,8.1,3.1,0.8,2.8,0.037000000000000005,0.0,0.0
7,1966,8.0,BOS,Jim Barnett,University of Oregon,11,732,17410,8536,2259,2232,0.435,0.0,0.797,23.8,11.7,3.1,3.0,33.2,0.092,-2.2,-0.3
8,1966,9.0,PHI,Matt Guokas,Saint Joseph's University,10,735,16603,4285,1446,2174,0.489,0.0,0.727,22.6,5.8,2.0,3.0,26.7,0.077,-3.8,-2.2
9,1966,10.0,CHI,Dave Schellhase,Purdue University,2,73,513,208,76,60,0.349,0.0,0.5670000000000001,7.0,2.8,1.0,0.8,-0.6,-0.061,0.0,0.0
12,1966,11.0,NYK,Henry Akin,Morehead State University,2,86,712,304,177,39,0.35100000000000003,0.0,0.6759999999999999,8.3,3.5,2.1,0.5,-1.2,-0.084,0.0,0.0
13,1966,12.0,DET,Dorie Murrey,University of Detroit Mercy,6,357,4486,1683,1555,226,0.425,0.0,0.679,12.6,4.7,4.4,0.6,6.5,0.07,0.0,0.0
14,1966,13.0,SFW,Joe Ellis,University of San Francisco,8,524,10374,4623,2686,716,0.39799999999999996,0.0,0.727,19.8,8.8,5.1,1.4,5.0,0.023,-5.2,-0.4
15,1966,14.0,STL,Dick Snyder,Davidson College,13,964,25676,11755,2732,2767,0.488,0.0,0.8240000000000001,26.6,12.2,2.8,2.9,58.3,0.109,-0.5,4.0
16,1966,15.0,BAL,Neil Johnson,Creighton University,4,202,2263,798,685,217,0.426,0.0,0.613,11.2,4.0,3.4,1.1,2.0,0.042,0.0,0.0
17,1966,16.0,CIN,Jerry Lee Wells,Oklahoma City University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1966,17.0,LAL,Hank Finkel,University of Dayton,9,551,6866,2790,2151,426,0.449,0.0,0.662,12.5,5.1,3.9,0.8,13.5,0.094,-4.9,-0.7
19,1966,18.0,BOS,Leon Clark,University of Wyoming,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1966,19.0,PHI,Bill Melchionni,Villanova University,2,144,1450,640,202,203,0.41200000000000003,0.0,0.6729999999999999,10.1,4.4,1.4,1.4,1.0,0.033,0.0,0.0
21,1966,20.0,CHI,Erwin Mueller,University of San Francisco,7,425,9541,3248,2050,853,0.429,0.0,0.627,22.4,7.6,4.8,2.0,9.6,0.048,0.0,0.0
24,1966,21.0,NYK,Stew Johnson,Murray State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1966,22.0,DET,Ollie Darden,University of Michigan,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1966,23.0,SFW,Stephen Chubin,University of Rhode Island,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1966,24.0,STL,Tommy Kron,University of Kentucky,3,184,3139,1193,603,518,0.389,0.0,0.753,17.1,6.5,3.3,2.8,1.8,0.027999999999999997,0.0,0.0
28,1966,25.0,BAL,Dave Wagnon,Idaho State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1966,26.0,CIN,Jim Ware,Oklahoma City University,2,63,429,143,146,13,0.284,0.0,0.647,6.8,2.3,2.3,0.2,-1.1,-0.125,0.0,0.0
30,1966,27.0,LAL,John Block,University of Southern California,10,597,14316,7106,3965,805,0.433,0.0,0.778,24.0,11.9,6.6,1.3,32.7,0.11,-1.4,0.4
31,1966,28.0,BOS,Gary Turner,Texas Christian University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1966,29.0,PHI,Donnie Freeman,University of Illinois at Urbana-Champaign,9,64,1480,689,180,171,0.434,0.0,0.8190000000000001,23.1,10.8,2.8,2.7,2.4,0.078,-1.8,0.1
33,1966,30.0,CHI,Ed Bodkin,Eastern Kentucky University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1966,31.0,NYK,Lee DeFore,Auburn University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1966,32.0,DET,Jeffrey Congdon,Brigham Young University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1966,33.0,SFW,Stephen Vacendak,Duke University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1966,34.0,STL,Bob McIntyre,St. John's University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1966,35.0,BAL,George Peeples,University of Iowa,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1966,36.0,CIN,Charles Schmaus,Virginia Military Institute,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1966,37.0,LAL,Archie Clark,University of Minnesota,10,725,23581,11819,2427,3498,0.48,0.0,0.769,32.5,16.3,3.3,4.8,64.7,0.132,-0.3,2.5
43,1966,38.0,BOS,Johnny Austin,Boston College,1,4,61,23,7,4,0.22699999999999998,0.0,0.813,15.3,5.8,1.8,1.0,-0.1,-0.043,0.0,0.0
44,1966,39.0,PHI,Ken Wilburn,Central State University,2,7,40,18,13,3,0.47100000000000003,0.0,0.25,5.7,2.6,1.9,0.4,0.0,0.038,0.0,0.0
45,1966,40.0,CHI,Jim Williams,Temple University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1966,41.0,NYK,Ron Jackson,Clark Atlanta University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1966,42.0,DET,William Pickens,Georgia Southern University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1966,43.0,SFW,Tom Kerwin,Centenary College of Louisiana,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1966,44.0,STL,Dick Nemelka,Brigham Young University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1966,45.0,BAL,John Beasley,Texas A&M University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,1966,46.0,BAL,John Jones,Louisiana State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1966,47.0,CIN,Richard Parks,Saint Louis University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,1966,48.0,LAL,Stan Washington,Michigan State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1966,49.0,PHI,Tom Duff,Saint Joseph's University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1966,50.0,CHI,Larry Humes,University of Evansville,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1966,51.0,NYK,George Fisher,University of Utah,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,1966,52.0,DET,Carroll Hooser,Southern Methodist University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1966,53.0,SFW,Jim Pitts,Northwestern University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1966,54.0,STL,Lonnie Wright,Colorado State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,1966,55.0,BAL,Jeff Newman,University of Pennsylvania,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1966,56.0,CIN,Steve Cunningham,Western Kentucky University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1966,57.0,LAL,Keith Thomas,Vanderbilt University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1966,58.0,BOS,Charlie Hunter,Oklahoma City University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
